sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,workex_binary,total_score,average_score,degree_category_Low,degree_category_Medium,mba_category_Low,mba_category_Medium
1,1,0.05155948075630622,Others,2.617637891644306,Others,Commerce,-1.1175076572804812,Sci&Tech,No,-1.2426268485205028,Mkt&HR,-0.5365909414920178,Placed,0.07326304182688627,-0.7187952884282609,-0.0461509250809579,-0.04615092508095508,True,False,True,False
2,1,1.2301534339598892,Central,1.2842524433234266,Others,Science,1.6671190982831463,Sci&Tech,Yes,1.2040636265894136,Mkt&Fin,0.8057097220561911,Placed,-2.252229881398425,1.391216687280505,1.8787617414477686,1.8787617414477682,False,False,False,True
3,1,-0.1396155319287843,Central,0.19712760661034978,Central,Arts,-0.2598197448892204,Comm&Mgmt,No,0.3108274213905552,Mkt&Fin,-0.7160429018594253,Placed,-0.5911635076660599,-0.7187952884282609,-0.0461509250809579,-0.04615092508095508,False,True,True,False
4,1,-0.9999030890116917,Central,-1.4867056351524024,Central,Science,-1.9751955696717423,Sci&Tech,No,-0.3882270000694209,Mkt&HR,-0.4235362064605507,Not Placed,0.6930203739721641,-0.7187952884282609,-1.5156687333032497,-1.5156687333032481,True,False,True,False
6,1,-1.0954905953542369,Others,-1.718232705894781,Others,Science,0.20476120765604594,Sci&Tech,Yes,-1.2426268485205028,Mkt&Fin,-1.8322340953446998,Not Placed,0.6930203739721641,1.391216687280505,-1.7408821905020688,-1.7408821905020668,False,True,True,False
7,0,-1.9557781524371443,Others,-1.7813764524608837,Others,Commerce,1.884400036088932,Comm&Mgmt,No,0.2549030676737572,Mkt&Fin,-1.525371243116433,Not Placed,0.6930203739721641,-0.7187952884282609,-0.9744940435049128,-0.9744940435049104,False,False,True,False
8,1,1.485372075894485,Central,-0.22383070383033826,Central,Science,0.02607622590786659,Sci&Tech,Yes,-0.31055428657386797,Mkt&Fin,0.06277860613512387,Placed,-0.5247208527167653,1.391216687280505,0.32942563442413003,0.3294256344241314,False,True,False,True
9,1,0.6250845188115778,Central,1.354762960322242,Central,Commerce,0.8837641382991275,Comm&Mgmt,No,1.5799995599078898,Mkt&Fin,-0.08975556017717277,Placed,-1.2223687296843586,-0.7187952884282609,1.5048411632456136,1.504841163245615,False,True,False,True
10,1,-0.8087280763266012,Central,0.40760676183069383,Central,Commerce,-0.6886637010848509,Comm&Mgmt,No,-1.3202995620160556,Mkt&Fin,-1.7191793603132328,Not Placed,0.6930203739721641,-0.7187952884282609,-1.1917587904496556,-1.1917587904496527,False,True,True,False
11,1,-0.8087280763266012,Central,-0.5395494366608543,Central,Commerce,-0.8316116864833943,Comm&Mgmt,Yes,-0.6989178540516324,Mkt&HR,-0.16871442273883167,Placed,-0.2589502329195868,1.391216687280505,-0.9718444734202195,-0.9718444734202175,False,True,False,True
12,1,0.30008699724692334,Central,0.2392234376544192,Central,Commerce,1.784336446309951,Comm&Mgmt,Yes,-0.8542632810427383,Mkt&Fin,0.34272366430828,Placed,-0.5911635076660599,1.391216687280505,0.2916692607172697,0.29166926071727156,False,False,False,True
13,0,-1.860190646094599,Central,-1.1709869023218864,Others,Science,-0.1168717594906769,Comm&Mgmt,No,-0.6989178540516324,Mkt&HR,0.5831892912006067,Not Placed,0.6930203739721641,-0.7187952884282609,-1.2305087529382746,-1.230508752938272,False,True,False,True
14,0,1.0074345441817587,Central,2.196679581203618,Central,Commerce,-0.9745596718819378,Comm&Mgmt,No,-0.23288157307831509,Mkt&Fin,1.2274218289195977,Placed,-1.6542459868547736,-0.7187952884282609,0.9418075202485652,0.9418075202485674,True,False,False,True
15,1,-0.42637805095642006,Central,-2.0129035232032626,Central,Commerce,-2.261091540468829,Comm&Mgmt,No,0.3885001348861081,Mkt&HR,-1.225686469302862,Not Placed,0.6930203739721641,-0.7187952884282609,-1.365636827257567,-1.3656368272575647,True,False,True,False
16,0,-0.1396155319287843,Central,0.9338046498815539,Central,Commerce,0.45492018210349705,Comm&Mgmt,Yes,0.07780928090389651,Mkt&Fin,0.5149975462609901,Placed,-2.252229881398425,1.391216687280505,0.4791263442092284,0.4791263442092279,False,True,False,True
17,1,-0.3307905446138748,Central,0.007696366912040471,Central,Commerce,-0.031102968251551618,Comm&Mgmt,Yes,-0.8542632810427383,Mkt&Fin,0.1345593902820866,Placed,1.0699028660663055,1.391216687280505,-0.4588214657717356,-0.45882146577173233,False,True,False,True
18,0,-1.0954905953542369,Central,0.09188802900017778,Central,Commerce,-0.2598197448892204,Comm&Mgmt,No,-0.8542632810427383,Mkt&Fin,0.9851616824235986,Not Placed,0.6930203739721641,-0.7187952884282609,-0.5932871475698539,-0.5932871475698525,False,True,False,True
